arm,subjectid,objectid,predicate,types,answer,correct,inputTokens,outputTokens,cost,latencyMs,error
wkt,"line_road_(53292978, 1234900701)",poi_way/119917654,disjoint,LineString-LineString,"(linestring,disjoint,linestring)",true,265,14,0.000335,7948,
wkt,node_3213373798,poi_way/396428425,disjoint,Point-LineString,"(point,within,linestring)",false,242,9,0.000287,1420,
wkt,"line_road_(53663013, 7806026865)","road_(53663013, 7806026865)",overlaps,LineString-LineString,"(linestring,equals,linestring)",false,254,10,0.000304,5415,
wkt,"road_(8089016780, 1179459768)",poi_node/3157963461,disjoint,LineString-Point,"(linestring,disjoint,point)",true,207,11,0.000262,4627,
wkt,poi_way/324060977,"road_(53439760, 3305033800)",disjoint,LineString-LineString,"(linestring,disjoint,linestring)",true,253,14,0.000323,10906,
wkt,"road_(3297233876, 3297234015)",poi_way/177921886,within,LineString-LineString,"(linestring,disjoint,linestring)",false,265,12,0.000325,967,
wkt,node_3297233867,poi_way/177921886,within,Point-LineString,"(point,touches,linestring)",false,253,9,0.000298,961,
wkt,census_550250016061,node_9555439582,disjoint,Polygon-Point,"(polygon,disjoint,point)",true,263,13,0.000328,9663,
wkt,"road_(3295236003, 3295236002)",poi_way/177921886,within,LineString-LineString,"(linestring,disjoint,linestring)",false,265,12,0.000325,1519,
wkt,node_3295236003,poi_way/177921886,within,Point-LineString,"(point,within,linestring)",true,253,9,0.000298,933,
wkt,node_2558460917,census_550250001001,touches,Point-Polygon,"(point,within,polygon)",false,349,9,0.000394,7869,
wkt,"line_road_(1221119215, 5506667661)",node_5506667661,touches,LineString-Point,"(linestring,contains,point)",false,220,9,0.000265,862,
wkt,node_8597026983,"road_(1221405365, 8597026983)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,1007,
wkt,line_poi_way/97601650,census_550250109072,disjoint,LineString-Polygon,"(linestring,within,polygon)",false,448,10,0.000498,9536,
wkt,parcel_70812468402,census_550250001001,within,Polygon-Polygon,"(polygon,within,polygon)",true,394,12,0.000454,8092,
wkt,line_poi_way/97601650,poi_way/97601650,equals,LineString-LineString,"(linestring,equals,linestring)",true,320,10,0.00037,9485,
wkt,polygon_parcel_70923215375,poi_way/175092612,touches,Polygon-LineString,"(polygon,touches,linestring)",true,273,10,0.000323,1065,
wkt,"road_(2987035525, 3035654115)","road_(3035654104, 2987035525)",within,LineString-LineString,"(linestring,touches,linestring)",false,221,10,0.000271,5272,
wkt,"road_(3297233868, 3297233870)",census_550250002022,touches,LineString-Polygon,"(linestring,within,polygon)",false,314,10,0.000364,880,
wkt,census_550250012003,"road_(53483354, 53444600)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,281,12,0.000341,1371,
wkt,"road_(3297234019, 2635547740)",poi_way/177921886,within,LineString-LineString,"(linestring,disjoint,linestring)",false,265,12,0.000325,4510,
wkt,node_3297233867,census_550250002022,touches,Point-Polygon,"(point,within,polygon)",false,303,9,0.000348,911,
wkt,node_3297233871,census_550250002022,touches,Point-Polygon,"(point,within,polygon)",false,303,9,0.000348,943,
wkt,node_3295351853,census_550250002022,within,Point-Polygon,"(point,within,polygon)",true,303,9,0.000348,1403,
wkt,line_poi_way/175095307,parcel_70922117184,touches,LineString-Polygon,"(linestring,overlaps,polygon)",false,295,11,0.00035,868,
wkt,"road_(1180187456, 5503336269)",census_550250013001,within,LineString-Polygon,"(linestring,within,polygon)",true,354,10,0.000404,9209,
wkt,"road_(6404899228, 2634693276)",census_550250013001,within,LineString-Polygon,"(linestring,within,polygon)",true,355,10,0.000405,9500,
wkt,node_7803278400,census_550250013001,within,Point-Polygon,"(point,within,polygon)",true,343,9,0.000388,9707,
wkt,parcel_70918222062,"road_(3312441203, 2020706716)",disjoint,Polygon-LineString,"(polygon,disjoint,linestring)",true,254,14,0.000324,9940,
wkt,node_9555439582,parcel_70923412319,disjoint,Point-Polygon,"(point,within,polygon)",false,263,9,0.000308,770,
wkt,"road_(4328501578, 2559417711)",poi_way/177780129,within,LineString-LineString,"(linestring,touches,linestring)",false,413,10,0.000463,5212,
wkt,census_550250011022,"road_(53476004, 3031362525)",contains,Polygon-LineString,"(polygon,crosses,linestring)",false,319,166,0.001149,2397,
wkt,"road_(2618209534, 53431361)","road_(53431361, 2623040506)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,1041,
wkt,"road_(4371623425, 53504327)","line_road_(4371623425, 53504327)",equals,LineString-LineString,"(linestring,contains,linestring)",false,232,10,0.000282,9637,
wkt,node_53431361,"road_(53431361, 2623040506)",touches,Point-LineString,"(point,touches,linestring)",true,209,9,0.000254,1016,
wkt,"road_(3308155337, 3308155338)",census_550250002022,touches,LineString-Polygon,"(linestring,disjoint,polygon)",false,315,12,0.000375,5332,
wkt,"road_(3297233866, 3295236002)",census_550250002022,touches,LineString-Polygon,"(linestring,within,polygon)",false,315,10,0.000365,5543,
wkt,"line_road_(53559578, 10288968593)",node_53559578,touches,LineString-Point,"(linestring,contains,point)",false,218,9,0.000263,968,
wkt,census_550250110002,census_550250002052,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,465,11,0.00052,917,
wkt,parcel_70814421164,census_550250002052,within,Polygon-Polygon,"(polygon,within,polygon)",true,400,12,0.00046,1639,
wkt,parcel_70814403112,census_550250002052,within,Polygon-Polygon,"(polygon,within,polygon)",true,379,12,0.000439,1051,
wkt,census_550250020002,poi_way/265881695,crosses,Polygon-LineString,"(polygon,overlaps,linestring)",false,467,11,0.000522,9646,
wkt,"road_(53483564, 53483571)",node_3312441203,disjoint,LineString-Point,"(linestring,disjoint,point)",true,208,11,0.000263,987,
wkt,poi_way/100403784,poi_node/5696877052,disjoint,LineString-Point,"(linestring,disjoint,point)",true,229,11,0.000284,1470,
wkt,"road_(10288968593, 53559578)",poi_node/9046463349,disjoint,LineString-Point,"(linestring,disjoint,point)",true,208,11,0.000263,949,
wkt,node_10115741741,"road_(7876047361, 1221466083)",disjoint,Point-LineString,"(point,disjoint,linestring)",true,209,11,0.000264,10129,
wkt,"road_(53430440, 2573847794)",poi_node/6532337680,disjoint,LineString-Point,"(linestring,disjoint,point)",true,206,11,0.000261,855,
wkt,"road_(3812685613, 3641784742)",census_550250012004,touches,LineString-Polygon,"(linestring,within,polygon)",false,250,10,0.0003,826,
wkt,"road_(3297233868, 3297233867)",census_550250002022,touches,LineString-Polygon,"(linestring,within,polygon)",false,315,10,0.000365,9721,
wkt,"road_(53476004, 3031362525)","road_(3080538572, 53580606)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,5164,
wkt,node_3297233865,census_550250002022,touches,Point-Polygon,"(point,within,polygon)",false,303,9,0.000348,8992,
wkt,"line_road_(53292958, 53292954)",node_1234918448,disjoint,LineString-Point,"(linestring,disjoint,point)",true,219,11,0.000274,887,
wkt,census_550250012001,census_550250012004,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,359,11,0.000414,1108,
wkt,poi_way/175095307,parcel_70922117184,touches,LineString-Polygon,"(linestring,overlaps,polygon)",false,285,11,0.00034,8832,
wkt,line_poi_way/175095307,poi_way/175095306,overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,399,11,0.000454,8972,
wkt,parcel_70920222323,node_7767815941,touches,Polygon-Point,"(polygon,contains,point)",false,253,11,0.000308,881,
wkt,parcel_70920222240,node_7767815941,touches,Polygon-Point,"(polygon,contains,point)",false,253,11,0.000308,919,
wkt,"road_(53637489, 53637486)",node_2771700206,disjoint,LineString-Point,"(linestring,disjoint,point)",true,209,11,0.000264,879,
wkt,census_550250011012,census_550250011011,touches,Polygon-Polygon,"(polygon,touches,polygon)",true,286,12,0.000346,964,
wkt,node_1247546199,parcel_60812403058,disjoint,Point-Polygon,"(point,within,polygon)",false,242,9,0.000287,1796,
wkt,poi_way/105823516,poi_node/1218555046,disjoint,LineString-Point,"(linestring,disjoint,point)",true,262,11,0.000317,1249,
wkt,"road_(3330083512, 1215684914)",node_1215695458,disjoint,LineString-Point,"(linestring,disjoint,point)",true,209,11,0.000264,1458,
wkt,poi_way/105672012,node_1221370671,disjoint,LineString-Point,"(linestring,disjoint,point)",true,274,11,0.000329,835,
wkt,polygon_parcel_70923143625,parcel_70923160059,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,392,11,0.000447,10263,
wkt,poi_node/6399419618,census_550250004093,disjoint,Point-Polygon,"(point,within,polygon)",false,348,9,0.000393,9868,
wkt,node_1192150173,poi_way/242628328,disjoint,Point-LineString,"(point,within,linestring)",false,241,9,0.000286,10375,
wkt,"road_(3936957324, 3936979920)",node_10780895382,disjoint,LineString-Point,"(linestring,disjoint,point)",true,209,11,0.000264,888,
wkt,poi_way/1134399578,polygon_parcel_70917447237,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,295,12,0.000355,817,
wkt,poi_way/107454783,poi_node/3942801839,disjoint,LineString-Point,"(linestring,disjoint,point)",true,242,13,0.000307,2626,
wkt,"road_(3861041469, 3861041468)","road_(3861041468, 3861041483)",within,LineString-LineString,"(linestring,touches,linestring)",false,216,10,0.000266,8902,
wkt,"road_(2623040538, 2573782047)",parcel_70918319249,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,318,12,0.000378,1020,
wkt,"road_(5210376521, 53330886)",poi_node/3299301568,disjoint,LineString-Point,"(linestring,disjoint,point)",true,208,11,0.000263,1189,
wkt,census_550250014011,census_550250014013,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,322,11,0.000377,8910,
wkt,"road_(2623040538, 2573782047)",node_2573782047,touches,LineString-Point,"(linestring,touches,point)",true,209,9,0.000254,1000,
wkt,"road_(53576752, 2343949486)","road_(53680057, 53576752)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,917,
wkt,parcel_60811411060,node_1212826179,disjoint,Polygon-Point,"(polygon,disjoint,point)",true,239,13,0.000304,918,
wkt,"road_(1237829822, 1237929468)",parcel_60812103210,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,251,12,0.000311,9782,
wkt,polygon_parcel_70814312024,census_550250002052,within,Polygon-Polygon,"(polygon,disjoint,polygon)",false,390,14,0.00046,8954,
wkt,node_7876047324,node_7876047324,equals,Point-Point,"(point,equals,point)",true,197,8,0.000237,861,
wkt,poi_way/329582233,node_3295712655,disjoint,LineString-Point,"(linestring,disjoint,point)",true,242,13,0.000307,5647,
wkt,census_550250002022,node_3295236003,touches,Polygon-Point,"(polygon,contains,point)",false,303,11,0.000358,834,
wkt,"road_(3295236003, 3295236004)",node_3295236003,touches,LineString-Point,"(linestring,contains,point)",false,209,9,0.000254,875,
wkt,node_7126876924,census_550250016033,disjoint,Point-Polygon,"(point,within,polygon)",false,252,9,0.000297,927,
wkt,poi_node/4801785153,line_poi_way/416234967,disjoint,Point-LineString,"(point,disjoint,linestring)",true,340,11,0.000395,5486,
wkt,"road_(3733245721, 3733245720)",node_1212604981,disjoint,LineString-Point,"(linestring,disjoint,point)",true,207,11,0.000262,7458,
wkt,census_550250002012,"road_(53315276, 7806219787)",touches,Polygon-LineString,"(polygon,touches,linestring)",true,294,12,0.000354,1738,
wkt,node_53654423,node_3462304619,equals,Point-Point,"(point,equals,point)",true,197,8,0.000237,877,
wkt,"road_(53315276, 7806219793)",node_53315276,touches,LineString-Point,"(linestring,contains,point)",false,209,9,0.000254,1337,
wkt,polygon_census_550250016032,poi_node/6283251825,contains,Polygon-Point,"(polygon,contains,point)",true,264,11,0.000319,815,
wkt,node_3335326241,node_3335326241,equals,Point-Point,"(point,equals,point)",true,197,10,0.000247,3703,
wkt,census_550250016044,census_550250016033,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,306,13,0.000371,2428,
wkt,poi_node/3452005374,node_2713279327,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,963,
wkt,"road_(1202442182, 1202442147)",node_2845308725,touches,LineString-Point,"(linestring,touches,point)",true,209,9,0.000254,776,
wkt,poi_way/105995989,node_2361717984,disjoint,LineString-Point,"(linestring,disjoint,point)",true,251,11,0.000306,8719,
wkt,census_550250011014,node_1859409741,contains,Polygon-Point,"(polygon,contains,point)",true,241,11,0.000296,1044,
wkt,"road_(3590603510, 3210160742)",poi_way/287637061,within,LineString-LineString,"(linestring,touches,linestring)",false,254,10,0.000304,4595,
wkt,node_5567913099,census_550250004011,touches,Point-Polygon,"(point,within,polygon)",false,263,9,0.000308,1032,
wkt,"road_(3305033528, 3305033539)",node_53598392,disjoint,LineString-Point,"(linestring,disjoint,point)",true,209,11,0.000264,8780,
wkt,census_550250017061,line_poi_way/416234967,crosses,Polygon-LineString,"(polygon,contains,linestring)",false,469,10,0.000519,9232,
wkt,node_7822233658,census_550250004011,touches,Point-Polygon,"(point,within,polygon)",false,263,9,0.000308,1076,
wkt,poi_way/107454790,parcel_70920219916,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,308,12,0.000368,1206,
wkt,"road_(3590603510, 3420767254)",poi_way/287637061,within,LineString-LineString,"(linestring,within,linestring)",true,254,331,0.001909,6973,
wkt,"road_(1212826179, 1212826250)",node_1212826179,touches,LineString-Point,"(linestring,contains,point)",false,208,9,0.000253,8207,
wkt,"road_(2633816157, 6299937093)",node_6299937093,touches,LineString-Point,"(linestring,touches,point)",true,209,9,0.000254,8052,
wkt,node_3297233866,node_3297233865,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,4437,
wkt,poi_node/9610173640,node_1857864059,disjoint,Point-Point,"(point,disjoint,point)",true,196,12,0.000256,8092,
wkt,"line_road_(3782790109, 3782790085)","road_(3782790109, 3782790085)",equals,LineString-LineString,"(linestring,equals,linestring)",true,227,10,0.000277,5085,
wkt,parcel_70920105123,node_1234931629,touches,Polygon-Point,"(polygon,contains,point)",false,240,11,0.000295,9597,
wkt,"road_(3590603870, 53478067)",parcel_70823209204,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,265,14,0.000335,1175,
wkt,poi_way/324539412,node_3868430987,disjoint,LineString-Point,"(linestring,disjoint,point)",true,242,13,0.000307,10664,
wkt,node_1238014920,poi_way/323552582,within,Point-LineString,"(point,within,linestring)",true,275,9,0.00032,895,
wkt,line_poi_way/315208108,parcel_70826420609,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,350,12,0.00041,2345,
wkt,"road_(2560768700, 2560768709)",polygon_parcel_70906306347,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,285,12,0.000345,791,
wkt,census_550250010001,node_5567913107,touches,Polygon-Point,"(polygon,contains,point)",false,349,9,0.000394,5387,
wkt,node_3423900546,census_550250004011,touches,Point-Polygon,"(point,within,polygon)",false,263,9,0.000308,4639,
wkt,line_poi_way/37849069,parcel_70823210194,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,297,14,0.000367,1078,
wkt,poi_node/3452005374,parcel_70923174620,disjoint,Point-Polygon,"(point,within,polygon)",false,262,9,0.000307,810,
wkt,"road_(53627256, 5736821694)",polygon_parcel_61003405440,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,252,12,0.000312,1007,
wkt,parcel_61003405440,polygon_parcel_61003405440,equals,Polygon-Polygon,"(polygon,overlaps,polygon)",false,274,13,0.000339,1147,
wkt,poi_way/322730364,parcel_70823314293,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,283,12,0.000343,1423,
wkt,"road_(53636755, 53459407)",census_550250004011,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,275,375,0.00215,7229,
wkt,node_3364707814,line_poi_way/107454790,within,Point-LineString,"(point,touches,linestring)",false,253,9,0.000298,863,
wkt,"road_(53483354, 53444600)",parcel_70922421105,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,252,12,0.000312,5618,
wkt,"line_road_(1315784550, 1315784422)","road_(1315784550, 1315784422)",equals,LineString-LineString,"(linestring,equals,linestring)",true,225,10,0.000275,5753,
wkt,"road_(53626917, 4328501578)",parcel_70811319202,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,265,445,0.00249,3548,
wkt,node_5567913115,census_550250004011,touches,Point-Polygon,"(point,within,polygon)",false,263,9,0.000308,7953,
wkt,node_3742007065,node_53330853,disjoint,Point-Point,"(point,disjoint,point)",true,197,12,0.000257,9395,
wkt,node_2379385324,census_550250004101,disjoint,Point-Polygon,"(point,within,polygon)",false,262,9,0.000307,1263,
wkt,census_550250026032,census_550250026031,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,372,11,0.000427,1214,
wkt,census_550250002043,census_550250004101,overlaps,Polygon-Polygon,"(polygon,disjoint,polygon)",false,359,14,0.000429,1387,
wkt,"road_(2987035525, 3035654115)",parcel_70922423169,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,251,14,0.000321,6437,
wkt,"road_(2771715843, 471252064)","road_(2771715843, 3868484436)",within,LineString-LineString,"(linestring,overlaps,linestring)",false,215,11,0.00027,1578,
wkt,"road_(3782790085, 3299351920)",polygon_census_550250108012,within,LineString-Polygon,"(linestring,disjoint,polygon)",false,413,12,0.000473,1534,
wkt,census_550250108011,polygon_census_550250108012,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,511,13,0.000576,1037,
wkt,census_550250009011,polygon_parcel_70922227032,disjoint,Polygon-Polygon,"(polygon,within,polygon)",false,303,12,0.000363,5275,
wkt,parcel_81011351762,parcel_81010408751,disjoint,Polygon-Polygon,"(polygon,disjoint,polygon)",true,291,14,0.000361,918,
wkt,node_3949217329,parcel_60801101100,disjoint,Point-Polygon,"(point,within,polygon)",false,242,9,0.000287,824,
wkt,"road_(53501801, 53556075)",parcel_71010104356,disjoint,LineString-Polygon,"(linestring,crosses,polygon)",false,254,10,0.000304,5819,
wkt,node_1212819623,polygon_parcel_60812328719,disjoint,Point-Polygon,"(point,within,polygon)",false,253,9,0.000298,8163,
wkt,"road_(53378681, 53378698)",parcel_70823110112,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,265,12,0.000325,5167,
wkt,node_8662977146,census_550250003011,within,Point-Polygon,"(point,within,polygon)",true,252,9,0.000297,1078,
wkt,"road_(53570049, 7806219791)","road_(7806219791, 3298977941)",touches,LineString-LineString,"(linestring,touches,linestring)",true,221,10,0.000271,1478,
wkt,"road_(9327940392, 9327940393)",polygon_parcel_60812328719,disjoint,LineString-Polygon,"(linestring,crosses,polygon)",false,265,10,0.000315,9009,
wkt,census_550250008001,census_550250101002,overlaps,Polygon-Polygon,"(polygon,touches,polygon)",false,405,12,0.000465,1515,
wkt,poi_node/789294744,parcel_70922345503,disjoint,Point-Polygon,"(point,within,polygon)",false,231,9,0.000276,850,
wkt,"road_(3295572535, 3295593433)",poi_way/239588234,within,LineString-LineString,"(linestring,crosses,linestring)",false,314,10,0.000364,1489,
wkt,"line_road_(53476129, 2951626325)","road_(53476129, 2951626325)",equals,LineString-LineString,"(linestring,equals,linestring)",true,254,10,0.000304,1003,
wkt,"road_(53541991, 7093318375)","line_road_(53541991, 7093318375)",overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,276,11,0.000331,5475,
wkt,poi_way/107578304,census_550250026011,within,LineString-Polygon,"(linestring,within,polygon)",true,329,10,0.000379,828,
wkt,"road_(2559389286, 2559389285)",poi_way/192182334,within,LineString-LineString,"(linestring,crosses,linestring)",false,274,10,0.000324,860,
wkt,census_550250026032,census_550250026033,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,392,11,0.000447,844,
wkt,parcel_081034117037,census_550250026033,within,Polygon-Polygon,"(polygon,within,polygon)",true,338,12,0.000398,963,
wkt,"road_(3455721651, 53482954)",parcel_70923174620,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,274,12,0.000334,9596,
wkt,census_550250107024,census_550250108012,overlaps,Polygon-Polygon,"(polygon,overlaps,polygon)",true,577,11,0.000632,979,
wkt,census_550250016051,census_550250016062,touches,Polygon-Polygon,"(polygon,overlaps,polygon)",false,308,11,0.000363,908,
wkt,parcel_60811401029,census_550250108014,within,Polygon-Polygon,"(polygon,within,polygon)",true,391,12,0.000451,4646,
wkt,"road_(8703346603, 53606441)","road_(1179412753, 53606441)",within,LineString-LineString,"(linestring,overlaps,linestring)",false,217,11,0.000272,967,
wkt,"road_(2559389285, 2559389286)",poi_way/192182334,within,LineString-LineString,"(linestring,within,linestring)",true,274,275,0.001649,2834,
wkt,line_poi_way/30785475,poi_way/30785475,equals,LineString-LineString,"(linestring,equals,linestring)",true,408,10,0.000458,845,
wkt,"road_(1178747974, 3423902133)",parcel_70919408108,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,253,12,0.000313,9379,
wkt,poi_way/1134399564,parcel_70920220111,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,305,12,0.000365,9813,
wkt,line_poi_way/678054848,poi_way/678054848,equals,LineString-LineString,"(linestring,equals,linestring)",true,298,10,0.000348,869,
wkt,"road_(3868484435, 471252064)","road_(2771715843, 3868484436)",within,LineString-LineString,"(linestring,overlaps,linestring)",false,216,11,0.000271,8182,
wkt,"road_(53720741, 5333672252)","line_road_(53720741, 5333672252)",equals,LineString-LineString,"(linestring,equals,linestring)",true,274,10,0.000324,868,
wkt,"road_(3782790109, 3782790085)","line_road_(3782790109, 3782790085)",equals,LineString-LineString,"(linestring,contains,linestring)",false,227,10,0.000277,8039,
wkt,poi_way/303966227,line_poi_way/303966227,equals,LineString-LineString,"(linestring,overlaps,linestring)",false,290,11,0.000345,964,
wkt,parcel_081034324111,census_550250026031,within,Polygon-Polygon,"(polygon,within,polygon)",true,317,12,0.000377,9479,
wkt,census_550250028002,poi_way/239588234,contains,Polygon-LineString,"(polygon,contains,linestring)",true,412,10,0.000462,5200,
wkt,poi_way/361992423,polygon_parcel_70922227032,disjoint,LineString-Polygon,"(linestring,disjoint,polygon)",true,295,12,0.000355,12326,
wkt,poi_way/88918269,line_poi_way/88918269,equals,LineString-LineString,"(linestring,equals,linestring)",true,292,10,0.000342,1025,
wkt,line_poi_way/37783996,poi_way/37783996,equals,LineString-LineString,"(linestring,equals,linestring)",true,292,10,0.000342,1218,
wkt,poi_way/37783996,line_poi_way/37783996,equals,LineString-LineString,"(linestring,equals,linestring)",true,292,10,0.000342,1234,
wkt,poi_way/315701274,line_poi_way/315701274,equals,LineString-LineString,"(linestring,equals,linestring)",true,296,10,0.000346,1120,
wkt,"road_(3959733921, 5617664452)","line_road_(3959733921, 5617664452)",equals,LineString-LineString,"(linestring,contains,linestring)",false,232,10,0.000282,1821,
wkt,"road_(3949217789, 3949216329)",poi_way/323365910,overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,317,10,0.000367,4814,
wkt,parcel_70928205032,parcel_70921312131,disjoint,Polygon-Polygon,"(polygon,disjoint,polygon)",true,281,14,0.000351,5109,
wkt,"road_(8904047610, 7983453387)","line_road_(8904047610, 7983453387)",equals,LineString-LineString,"(linestring,overlaps,linestring)",false,232,11,0.000287,1315,
wkt,"line_road_(53667336, 53599711)","road_(53667336, 53599711)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,1786,
wkt,"road_(1326717305, 1315814060)","line_road_(1326717305, 1315814060)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,1027,
wkt,"line_road_(496686202, 3264677689)","road_(496686202, 3264677689)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,1300,
wkt,"road_(7090044983, 7983443054)","line_road_(7090044983, 7983443054)",equals,LineString-LineString,"(linestring,contains,linestring)",false,232,10,0.000282,790,
wkt,line_poi_way/38114671,poi_way/38114671,equals,LineString-LineString,"(linestring,equals,linestring)",true,294,12,0.000354,859,
wkt,"road_(2402818842, 4091178835)","line_road_(2402818842, 4091178835)",equals,LineString-LineString,"(linestring,equals,linestring)",true,249,10,0.000299,1167,
wkt,poi_way/289287309,line_poi_way/289287309,equals,LineString-LineString,"(linestring,equals,linestring)",true,340,10,0.00039,5623,
wkt,"line_road_(1315784413, 1316627483)","road_(1315784413, 1316627483)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,5042,
wkt,node_3397747350,parcel_70918415998,disjoint,Point-Polygon,"(point,within,polygon)",false,316,9,0.000361,9208,
wkt,poi_way/174348079,line_poi_way/174348079,equals,LineString-LineString,"(linestring,equals,linestring)",true,362,10,0.000412,5326,
wkt,poi_way/97601601,line_poi_way/97601601,equals,LineString-LineString,"(linestring,equals,linestring)",true,294,10,0.000344,1050,
wkt,"line_road_(53367359, 6776854279)","road_(53367359, 6776854279)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,8063,
wkt,poi_way/898176502,line_poi_way/898176502,equals,LineString-LineString,"(linestring,overlaps,linestring)",false,298,11,0.000353,9230,
wkt,"line_road_(8613817006, 8613817008)","road_(8613817006, 8613817008)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,9163,
wkt,poi_way/315208108,poi_way/27627470,overlaps,LineString-LineString,"(linestring,touches,linestring)",false,287,10,0.000337,928,
wkt,"line_road_(53664849, 53664854)","road_(53664849, 53664854)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,9455,
wkt,"road_(3891862954, 2559389286)",poi_way/192182334,overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,275,480,0.002675,13895,
wkt,node_6223227450,"line_road_(53596637, 3033922199)",disjoint,Point-LineString,"(point,within,linestring)",false,220,9,0.000265,1216,
wkt,"road_(1910879161, 2909214488)","line_road_(1910879161, 2909214488)",equals,LineString-LineString,"(linestring,equals,linestring)",true,230,10,0.00028,4509,
wkt,"line_road_(53611268, 5657224060)","road_(53611268, 5657224060)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,9402,
wkt,"line_road_(53581324, 5742925596)","road_(53581324, 5742925596)",equals,LineString-LineString,"(linestring,equals,linestring)",true,232,10,0.000282,13072,
wkt,parcel_70923156553,polygon_census_550250017041,within,Polygon-Polygon,"(polygon,overlaps,polygon)",false,317,11,0.000372,1067,
wkt,"road_(8903372664, 7763550703)","line_road_(8903372664, 7763550703)",equals,LineString-LineString,"(linestring,within,linestring)",false,230,10,0.00028,8127,
wkt,poi_way/43930103,line_poi_way/43930103,equals,LineString-LineString,"(linestring,equals,linestring)",true,298,10,0.000348,8901,
wkt,"road_(8903372664, 7763550703)",node_7763550703,touches,LineString-Point,"(linestring,touches,point)",true,208,9,0.000253,8396,
wkt,"road_(53424251, 53540517)","line_road_(53424251, 53540517)",equals,LineString-LineString,"(linestring,equals,linestring)",true,227,10,0.000277,8437,
wkt,"road_(53638366, 5718817120)",node_5718817120,touches,LineString-Point,"(linestring,touches,point)",true,209,9,0.000254,1904,
wkt,"road_(5474176956, 450880361)","line_road_(5474176956, 450880361)",equals,LineString-LineString,"(linestring,within,linestring)",false,232,10,0.000282,10610,
wkt,poi_way/106615884,census_550250004082,within,LineString-Polygon,"(linestring,within,polygon)",true,296,10,0.000346,1466,
wkt,"road_(1288347389, 5385133522)",census_550250107011,touches,LineString-Polygon,"(linestring,within,polygon)",false,276,10,0.000326,1344,
wkt,poi_way/106437480,poi_way/102241924,overlaps,LineString-LineString,"(linestring,touches,linestring)",false,287,10,0.000337,1134,
wkt,poi_way/91084876,poi_way/91084873,overlaps,LineString-LineString,"(linestring,overlaps,linestring)",true,304,11,0.000359,1209,
wkt,"line_road_(53701568, 1596769289)",poi_way/303873342,within,LineString-LineString,"(linestring,touches,linestring)",false,259,10,0.000309,8428,
wkt,"road_(53319125, 1236925410)",poi_way/258408012,overlaps,LineString-LineString,"(linestring,crosses,linestring)",false,293,10,0.000343,997,
wkt,node_1596592425,poi_way/303873342,within,Point-LineString,"(point,touches,linestring)",false,238,9,0.000283,8408,
