objectid,geometry,subjectid,geometry_subject,geom_type_subject,geom_type,predicate,pid,relate,idx
node_7767815941,POINT (-89.4549 43.0708),poi_way/329582233,"LINESTRING (-89.4516 43.0686, -89.4515 43.0686, -89.4515 43.0684, -89.4516 43.0684, -89.4516 43.0686)",LineString,Point,disjoint,,FF1FFF0F2,86
node_1221624051,POINT (-89.3023 43.1256),poi_way/1135060641,"LINESTRING (-89.3058 43.1251, -89.3057 43.1253, -89.3059 43.1252, -89.3058 43.1251)",LineString,Point,disjoint,,FF1FFF0F2,87
node_1221355016,POINT (-89.3004 43.126),poi_way/1135060527,"LINESTRING (-89.3041 43.1258, -89.3041 43.1256, -89.3041 43.1255, -89.3043 43.1257, -89.3041 43.1258)",LineString,Point,disjoint,,FF1FFF0F2,88
node_1238014966,POINT (-89.4991 43.0087),"road_(1315817238, 3733245718)","LINESTRING (-89.4963 43.0037, -89.4964 43.0037)",LineString,Point,disjoint,,FF1FF00F2,89
poi_node/3299301569,POINT (-89.5208 43.0613),"road_(1231500044, 5550637262)","LINESTRING (-89.5257 43.0603, -89.5257 43.0601)",LineString,Point,disjoint,,FF1FF00F2,90
node_1192211477,POINT (-89.3771 43.0788),line_poi_way/242632742,"LINESTRING (-89.3779 43.0749, -89.3775 43.0751, -89.3772 43.0749, -89.37732 43.07478, -89.3775 43.0746, -89.3779 43.0749)",LineString,Point,disjoint,,FF1FFF0F2,91
poi_node/3233331735,POINT (-89.4171 43.0653),"road_(53705765, 53514812)","LINESTRING (-89.4168 43.071, -89.4167 43.071)",LineString,Point,disjoint,,FF1FF00F2,92
node_1706466103,POINT (-89.3398 43.0933),"road_(1706466093, 5656937050)","LINESTRING (-89.3398 43.0922, -89.3398 43.0923)",LineString,Point,disjoint,,FF1FF00F2,93
node_53296810,POINT (-89.5195 43.0814),poi_way/99078178,"LINESTRING (-89.523 43.0818, -89.5233 43.0819, -89.5236 43.0817, -89.5236 43.0819, -89.524 43.0819, -89.524 43.0822, -89.5231 43.0822, -89.5232 43.0821, -89.5226 43.0818, -89.523 43.0818)",LineString,Point,disjoint,,FF1FFF0F2,94
node_8405199568,POINT (-89.3953 43.0731),"road_(2714977035, 5489227280)","LINESTRING (-89.3916 43.0761, -89.3917 43.0761)",LineString,Point,disjoint,,FF1FF00F2,95
poi_node/6887221672,POINT (-89.4544 43.0749),poi_way/329582229,"LINESTRING (-89.4528 43.0693, -89.453 43.0694, -89.4532 43.0694, -89.4528 43.0695, -89.4527 43.0694, -89.4528 43.0693)",LineString,Point,disjoint,,FF1FFF0F2,96
node_3335326241,POINT (-89.4864 43.0629),"road_(2633816157, 6299937093)","LINESTRING (-89.4819 43.0608, -89.4786 43.0608)",LineString,Point,disjoint,,FF1FF00F2,97
poi_node/9134457468,POINT (-89.4533 43.0733),poi_way/1134399604,"LINESTRING (-89.4524 43.0724, -89.4521 43.0724, -89.4521 43.0723, -89.4524 43.0723, -89.4524 43.0724)",LineString,Point,disjoint,,FF1FFF0F2,98
node_8597026971,POINT (-89.308 43.1279),poi_way/1135060543,"LINESTRING (-89.3045 43.1256, -89.3044 43.1257, -89.3044 43.1256, -89.3045 43.1256)",LineString,Point,disjoint,,FF1FFF0F2,99
node_1192150173,POINT (-89.3755 43.0761),line_poi_way/347311443,"LINESTRING (-89.3771 43.0805, -89.3768 43.0806, -89.3766 43.0804, -89.377 43.08, -89.37732 43.08024, -89.3774 43.0803, -89.3771 43.0805)",LineString,Point,disjoint,,FF1FFF0F2,100
node_1221418870,POINT (-89.3048 43.1292),poi_way/105682537,"LINESTRING (-89.3081 43.1274, -89.3083 43.1272, -89.3081 43.1271, -89.3079 43.1272, -89.3081 43.1274)",LineString,Point,disjoint,,FF1FFF0F2,101
node_9623911697,POINT (-89.3981 43.0028),poi_way/1137759869,"LINESTRING (-89.3959 43.0065, -89.3959 43.0064, -89.3954 43.0064, -89.3954 43.0065, -89.3959 43.0065)",LineString,Point,disjoint,,FF1FFF0F2,102
poi_node/10272077475,POINT (-89.5048 43.0585),poi_way/315232128,"LINESTRING (-89.509 43.0549, -89.5087 43.0549, -89.5086 43.0551, -89.5089 43.0551, -89.509 43.0549)",LineString,Point,disjoint,,FF1FFF0F2,103
node_3423902138,POINT (-89.4686 43.0682),"road_(3423901889, 53645486)","LINESTRING (-89.4687 43.0669, -89.4718 43.067)",LineString,Point,disjoint,,FF1FF00F2,104
node_1857864059,POINT (-89.399 43.0734),poi_way/360719077,"LINESTRING (-89.3988 43.0746, -89.3989 43.0745, -89.3986 43.0745, -89.3986 43.0748, -89.3988 43.0746)",LineString,Point,disjoint,,FF1FFF0F2,105
node_4137558208,POINT (-89.323 43.046),poi_way/105666299,"LINESTRING (-89.3254 43.046, -89.3258 43.046, -89.3262 43.0456, -89.326 43.0455, -89.3253 43.0459, -89.3254 43.046)",LineString,Point,disjoint,,FF1FFF0F2,106
node_6139578579,POINT (-89.3871 43.0754),poi_way/102371328,"LINESTRING (-89.3905 43.0737, -89.3902 43.074, -89.3899 43.0738, -89.3902 43.0735, -89.3905 43.0737)",LineString,Point,disjoint,,FF1FFF0F2,107
node_6090145323,POINT (-89.4521 43.0742),"road_(1345262758, 53458773)","LINESTRING (-89.4488 43.077, -89.4488 43.0776)",LineString,Point,disjoint,,FF1FF00F2,108
node_3295625110,POINT (-89.4542 43.0743),poi_way/1134399603,"LINESTRING (-89.4521 43.0723, -89.4524 43.0722, -89.4524 43.0723, -89.4521 43.0723)",LineString,Point,disjoint,,FF1FFF0F2,109
node_6223227462,POINT (-89.4301 43.0759),poi_way/108065753,"LINESTRING (-89.4335 43.0748, -89.4333 43.0747, -89.4334 43.0746, -89.4335 43.0746, -89.4335 43.0748)",LineString,Point,disjoint,,FF1FFF0F2,110
node_2638675250,POINT (-89.3982 43.0542),poi_way/291570953,"LINESTRING (-89.3987 43.0522, -89.3983 43.0524, -89.3979 43.0523, -89.398 43.0529, -89.3977 43.053, -89.398 43.0531, -89.3977 43.0532, -89.3977 43.0534, -89.3982 43.0534, -89.3982 43.0528, -89.3987 43.0528, -89.3987 43.0522)",LineString,Point,disjoint,,FF1FFF0F2,111
node_10575658812,POINT (-89.4527 43.0739),poi_way/1134399596,"LINESTRING (-89.4522 43.0735, -89.452 43.0735, -89.452 43.0734, -89.4523 43.0734, -89.4522 43.0735)",LineString,Point,disjoint,,FF1FFF0F2,112
node_2467201727,POINT (-89.2979 43.1291),poi_way/105682515,"LINESTRING (-89.3028 43.131, -89.303 43.1308, -89.3032 43.131, -89.3028 43.1312, -89.3023 43.1309, -89.3025 43.1308, -89.3028 43.131)",LineString,Point,disjoint,,FF1FFF0F2,113
node_4094494159,POINT (-89.3627 43.1302),"road_(317356639, 7165068001)","LINESTRING (-89.3674 43.1325, -89.3676 43.1326)",LineString,Point,disjoint,,FF1FF00F2,114
node_9134530174,POINT (-89.4529 43.0721),poi_way/1134399566,"LINESTRING (-89.4535 43.0717, -89.4535 43.0714, -89.4527 43.0714, -89.4526 43.0718, -89.4528 43.0719, -89.4528 43.0717, -89.4535 43.0717)",LineString,Point,disjoint,,FF1FFF0F2,115
node_3295625155,POINT (-89.4536 43.0745),poi_way/1134399598,"LINESTRING (-89.4525 43.0729, -89.4524 43.0728, -89.4522 43.0728, -89.4522 43.0729, -89.4525 43.0729)",LineString,Point,disjoint,,FF1FFF0F2,116
node_7764476410,POINT (-89.5362 43.101),"road_(8426375900, 8157256797)","LINESTRING (-89.5322 43.0992, -89.5322 43.0994)",LineString,Point,disjoint,,FF1FF00F2,117
node_1722527047,POINT (-89.4472 43.0599),"road_(53468622, 3760718118)","LINESTRING (-89.4456 43.0599, -89.4456 43.06)",LineString,Point,disjoint,,FF1FF00F2,118
node_2016571896,POINT (-89.4895 43.0095),"line_road_(1242590307, 1242437154)","LINESTRING (-89.4849 43.0122, -89.48504 43.01192, -89.4851 43.0118)",LineString,Point,disjoint,,FF1FF00F2,119
node_5506667669,POINT (-89.3104 43.126),poi_way/106101957,"LINESTRING (-89.3148 43.1245, -89.3144 43.1248, -89.3148 43.1251, -89.3153 43.1249, -89.3148 43.1245)",LineString,Point,disjoint,,FF1FFF0F2,120
node_3056824007,POINT (-89.4924 43.0622),"road_(3295236003, 3295236004)","LINESTRING (-89.4939 43.0675, -89.4942 43.0675)",LineString,Point,disjoint,,FF1FF00F2,121
node_3414445023,POINT (-89.3863 43.0745),poi_way/100403787,"LINESTRING (-89.3847 43.0766, -89.3852 43.0763, -89.3855 43.0765, -89.385 43.0768, -89.3847 43.0766)",LineString,Point,disjoint,,FF1FFF0F2,122
poi_node/3299301568,POINT (-89.5208 43.0612),"road_(3590603510, 3210160742)","LINESTRING (-89.5175 43.0607, -89.5175 43.0606)",LineString,Point,disjoint,,FF1FF00F2,123
node_3269882028,POINT (-89.3832 43.0724),poi_way/255228516,"LINESTRING (-89.3838 43.0762, -89.3837 43.0761, -89.3834 43.0764, -89.3835 43.0764, -89.3838 43.0762)",LineString,Point,disjoint,,FF1FFF0F2,124
poi_node/3900701988,POINT (-89.5056 43.0576),poi_way/396428427,"LINESTRING (-89.5107 43.0591, -89.5107 43.0592, -89.5117 43.0592, -89.5117 43.0591, -89.5107 43.0591)",LineString,Point,disjoint,,FF1FFF0F2,125
node_3844307225,POINT (-89.3891 43.074),"road_(53472474, 3225708394)","LINESTRING (-89.3926 43.0742, -89.3927 43.0742)",LineString,Point,disjoint,,FF1FF00F2,126
node_8405199568,POINT (-89.3953 43.0731),poi_way/295708135,"LINESTRING (-89.3989 43.0738, -89.3984 43.0736, -89.3984 43.0741, -89.3989 43.0741, -89.3989 43.0738)",LineString,Point,disjoint,,FF1FFF0F2,127
poi_node/5062663674,POINT (-89.5108 43.0612),poi_way/44001961,"LINESTRING (-89.5124 43.061, -89.5121 43.061, -89.5121 43.0612, -89.5123 43.0612, -89.5124 43.061)",LineString,Point,disjoint,,FF1FFF0F2,128
node_1218540449,POINT (-89.2845 43.1422),poi_way/1083384043,"LINESTRING (-89.2837 43.1428, -89.2835 43.1427, -89.2833 43.1429, -89.2834 43.143, -89.2837 43.1428)",LineString,Point,disjoint,,FF1FFF0F2,129
node_1181378706,POINT (-89.3921 43.0738),"road_(1179967299, 1179967279)","LINESTRING (-89.3936 43.0681, -89.3932 43.0684)",LineString,Point,disjoint,,FF1FF00F2,130
node_7806219799,POINT (-89.4865 43.0628),"road_(53315276, 7806219793)","LINESTRING (-89.4865 43.0622, -89.4865 43.0626)",LineString,Point,disjoint,,FF1FF00F2,131
node_3462304619,POINT (-89.4403 43.0608),"road_(5567917277, 5567917274)","LINESTRING (-89.4419 43.0575, -89.4419 43.0582)",LineString,Point,disjoint,,FF1FF00F2,132
poi_node/6283251825,POINT (-89.3965 43.0748),"road_(9900063353, 53508176)","LINESTRING (-89.3935 43.0696, -89.3936 43.0697)",LineString,Point,disjoint,,FF1FF00F2,133
node_4094494159,POINT (-89.3627 43.1302),"road_(53642747, 6948204643)","LINESTRING (-89.3605 43.1348, -89.3611 43.1348)",LineString,Point,disjoint,,FF1FF00F2,134
poi_node/9134457468,POINT (-89.4533 43.0733),poi_way/38342990,"LINESTRING (-89.452 43.0731, -89.452 43.0728, -89.4516 43.0729, -89.4517 43.0738, -89.452 43.0738, -89.452 43.0731)",LineString,Point,disjoint,,FF1FFF0F2,135
node_2713279327,POINT (-89.3892 43.0792),poi_way/102369232,"LINESTRING (-89.3894 43.0758, -89.3896 43.0757, -89.3893 43.0754, -89.3892 43.0755, -89.3894 43.0758)",LineString,Point,disjoint,,FF1FFF0F2,136
node_8515298377,POINT (-89.436 43.075),poi_way/345638671,"LINESTRING (-89.4366 43.0741, -89.4367 43.074, -89.4366 43.0739, -89.4365 43.0741, -89.4366 43.0741)",LineString,Point,disjoint,,FF1FFF0F2,137
node_8515298377,POINT (-89.436 43.075),poi_way/107463295,"LINESTRING (-89.4336 43.0782, -89.4343 43.0783, -89.4343 43.0781, -89.435 43.0781, -89.4349 43.0786, -89.4338 43.0786, -89.4338 43.0788, -89.433 43.0787, -89.4332 43.0785, -89.4337 43.0785, -89.4336 43.0782)",LineString,Point,disjoint,,FF1FFF0F2,138
node_8515298377,POINT (-89.436 43.075),line_poi_way/870590652,"LINESTRING (-89.4331 43.0772, -89.4337 43.0772, -89.4337 43.0768, -89.4337 43.0774, -89.43322 43.0774, -89.4331 43.0774, -89.4331 43.0772)",LineString,Point,disjoint,,FF1FFF0F2,139
node_3590603538,POINT (-89.5104 43.0609),"road_(53488666, 53499154)","LINESTRING (-89.5166 43.0673, -89.5165 43.0664, -89.5156 43.0658, -89.5153 43.0657, -89.5133 43.0659, -89.5132 43.0666, -89.5136 43.0672, -89.5151 43.0673)",LineString,Point,disjoint,,FF1FF00F2,140
node_1202153577,POINT (-89.519 43.0215),"road_(1202442182, 1202442147)","LINESTRING (-89.5204 43.0199, -89.5206 43.0198)",LineString,Point,disjoint,,FF1FF00F2,141
node_1285551952,POINT (-89.4766 43.0144),poi_way/107655168,"LINESTRING (-89.4755 43.0148, -89.4755 43.0146, -89.4752 43.0146, -89.4752 43.0148, -89.4755 43.0148)",LineString,Point,disjoint,,FF1FFF0F2,142
poi_node/3487910784,POINT (-89.4706 43.0779),"road_(2603739267, 2603739270)","LINESTRING (-89.4694 43.0752, -89.4696 43.0752)",LineString,Point,disjoint,,FF1FF00F2,143
node_1234931629,POINT (-89.4509 43.0683),"road_(5630875287, 53692888)","LINESTRING (-89.4487 43.0682, -89.4487 43.0681)",LineString,Point,disjoint,,FF1FF00F2,144
node_1857788735,POINT (-89.4045 43.0756),poi_way/159531184,"LINESTRING (-89.4056 43.0732, -89.4056 43.0729, -89.4051 43.0729, -89.4052 43.0731, -89.4056 43.0732)",LineString,Point,disjoint,,FF1FFF0F2,145
node_1178748005,POINT (-89.4683 43.0701),"road_(1178748033, 3397728730)","LINESTRING (-89.4679 43.0752, -89.4678 43.075)",LineString,Point,disjoint,,FF1FF00F2,146
node_1859372539,POINT (-89.4135 43.0684),poi_way/317091936,"LINESTRING (-89.4169 43.0649, -89.4168 43.065, -89.4167 43.0648, -89.4168 43.0648, -89.4169 43.0649)",LineString,Point,disjoint,,FF1FFF0F2,147
node_1722527213,POINT (-89.4417 43.0613),poi_way/159590834,"LINESTRING (-89.4393 43.061, -89.4391 43.061, -89.4391 43.0611, -89.4393 43.0611, -89.4393 43.061)",LineString,Point,disjoint,,FF1FFF0F2,148
node_3301815724,POINT (-89.4498 43.0758),poi_way/1134399560,"LINESTRING (-89.4528 43.0724, -89.4527 43.0725, -89.4528 43.0725, -89.4528 43.0724)",LineString,Point,disjoint,,FF1FFF0F2,149
poi_node/4479808710,POINT (-89.3917 43.075),poi_way/102737839,"LINESTRING (-89.3954 43.0718, -89.3958 43.0719, -89.3958 43.0717, -89.3954 43.0718)",LineString,Point,disjoint,,FF1FFF0F2,150
node_3890728177,POINT (-89.3747 43.0781),"road_(449917758, 449918956)","LINESTRING (-89.3719 43.0832, -89.3718 43.0834)",LineString,Point,disjoint,,FF1FF00F2,151
node_1206482610,POINT (-89.5267 42.9994),"line_road_(3782790109, 3782790085)","LINESTRING (-89.5312 43.003, -89.53141 43.003, -89.5315 43.003)",LineString,Point,disjoint,,FF1FF00F2,152
node_10290406877,POINT (-89.4499 43.0755),poi_way/372514599,"LINESTRING (-89.4471 43.0751, -89.4471 43.0749, -89.447 43.0749, -89.447 43.0751, -89.4471 43.0751)",LineString,Point,disjoint,,FF1FFF0F2,153
node_1179397955,POINT (-89.451 43.0682),poi_way/1134399599,"LINESTRING (-89.4525 43.0729, -89.4521 43.0728, -89.4521 43.0733, -89.4523 43.0733, -89.4525 43.0729)",LineString,Point,disjoint,,FF1FFF0F2,154
poi_node/3318807459,POINT (-89.4753 43.0818),"road_(2618209534, 53431361)","LINESTRING (-89.4708 43.0826, -89.4708 43.0827)",LineString,Point,disjoint,,FF1FF00F2,155
node_10580933543,POINT (-89.3076 43.1235),poi_way/1135060527,"LINESTRING (-89.3041 43.1258, -89.3041 43.1256, -89.3041 43.1255, -89.3043 43.1257, -89.3041 43.1258)",LineString,Point,disjoint,,FF1FFF0F2,156
node_8597026971,POINT (-89.308 43.1279),poi_way/1135060630,"LINESTRING (-89.3045 43.1247, -89.3044 43.1249, -89.3043 43.1249, -89.3044 43.1247, -89.3045 43.1247)",LineString,Point,disjoint,,FF1FFF0F2,157
node_1221340744,POINT (-89.3083 43.126),poi_way/1135060522,"LINESTRING (-89.3037 43.1256, -89.3038 43.1261, -89.3032 43.1262, -89.303 43.1256, -89.3036 43.1256, -89.3035 43.1255, -89.3037 43.1254, -89.3037 43.1256)",LineString,Point,disjoint,,FF1FFF0F2,158
node_5506667669,POINT (-89.3104 43.126),poi_way/1135060647,"LINESTRING (-89.3053 43.1251, -89.3053 43.1252, -89.3055 43.1251, -89.3053 43.1251)",LineString,Point,disjoint,,FF1FFF0F2,159
node_1883218361,POINT (-89.4933 43.0675),"road_(3305033528, 3305033539)","LINESTRING (-89.4941 43.0704, -89.4945 43.0707)",LineString,Point,disjoint,,FF1FF00F2,160
node_9555439582,POINT (-89.3903 43.0732),"road_(1315875403, 10312211946)","LINESTRING (-89.3878 43.0706, -89.3885 43.071)",LineString,Point,disjoint,,FF1FF00F2,161
node_53330853,POINT (-89.5201 43.0614),"road_(53279712, 454657743)","LINESTRING (-89.5197 43.0566, -89.5186 43.0558)",LineString,Point,disjoint,,FF1FF00F2,162
node_3844330603,POINT (-89.3862 43.076),poi_way/28771816,"LINESTRING (-89.381 43.0767, -89.3802 43.0772, -89.3794 43.0766, -89.3801 43.0761, -89.381 43.0767)",LineString,Point,disjoint,,FF1FFF0F2,163
node_10587216597,POINT (-89.4138 43.0762),poi_way/37751417,"LINESTRING (-89.4091 43.0761, -89.4087 43.0761, -89.4087 43.0763, -89.4092 43.0762, -89.4091 43.0761)",LineString,Point,disjoint,,FF1FFF0F2,164
node_1234984053,POINT (-89.4335 43.0764),poi_way/298979831,"LINESTRING (-89.431 43.0758, -89.431 43.0753, -89.4299 43.0752, -89.4299 43.0758, -89.431 43.0758)",LineString,Point,disjoint,,FF1FFF0F2,165
node_10580933418,POINT (-89.304 43.1272),poi_way/1135060537,"LINESTRING (-89.3048 43.1258, -89.3052 43.1257, -89.3052 43.1258, -89.3048 43.1258)",LineString,Point,disjoint,,FF1FFF0F2,166
poi_node/3287036688,POINT (-89.4958 43.0613),"line_road_(2635548019, 3299324300)","LINESTRING (-89.497 43.0663, -89.49707 43.06714, -89.4971 43.0675)",LineString,Point,disjoint,,FF1FF00F2,167
node_5370926455,POINT (-89.3751 43.0808),poi_way/320498929,"LINESTRING (-89.3726 43.0845, -89.371 43.0856, -89.371 43.0857, -89.3718 43.0862, -89.3734 43.0851, -89.3726 43.0845)",LineString,Point,disjoint,,FF1FFF0F2,168
node_1221624051,POINT (-89.3023 43.1256),poi_way/105682530,"LINESTRING (-89.3042 43.1301, -89.304 43.1302, -89.3038 43.13, -89.3039 43.1299, -89.3042 43.1301)",LineString,Point,disjoint,,FF1FFF0F2,169
poi_node/10180882664,POINT (-89.3861 43.0747),poi_way/102757077,"LINESTRING (-89.3897 43.0728, -89.3896 43.0726, -89.3891 43.073, -89.3898 43.0735, -89.3903 43.0732, -89.3901 43.073, -89.3898 43.0733, -89.3896 43.0729, -89.3897 43.0728)",LineString,Point,disjoint,,FF1FFF0F2,170
node_53439921,POINT (-89.3128 43.1253),poi_way/106101957,"LINESTRING (-89.3148 43.1245, -89.3144 43.1248, -89.3148 43.1251, -89.3153 43.1249, -89.3148 43.1245)",LineString,Point,disjoint,,FF1FFF0F2,171
node_3462304620,POINT (-89.4402 43.0608),"road_(5567917277, 5567917274)","LINESTRING (-89.4419 43.0575, -89.4419 43.0582)",LineString,Point,disjoint,,FF1FF00F2,172
node_53604293,POINT (-89.5012 43.0922),"road_(2771715843, 3868484436)","LINESTRING (-89.498 43.097, -89.4983 43.097)",LineString,Point,disjoint,,FF1FF00F2,173
node_3023830084,POINT (-89.3985 43.0754),poi_way/37749303,"LINESTRING (-89.4027 43.0773, -89.4024 43.0773, -89.4024 43.077, -89.4028 43.077, -89.4027 43.0773)",LineString,Point,disjoint,,FF1FFF0F2,174
node_1859409741,POINT (-89.4089 43.071),poi_way/174820176,"LINESTRING (-89.4121 43.0687, -89.4116 43.0689, -89.4117 43.0691, -89.4114 43.0693, -89.4115 43.0688, -89.4121 43.0685, -89.4121 43.0687)",LineString,Point,disjoint,,FF1FFF0F2,175
node_3607816560,POINT (-89.4042 43.0721),poi_way/37749303,"LINESTRING (-89.4027 43.0773, -89.4024 43.0773, -89.4024 43.077, -89.4028 43.077, -89.4027 43.0773)",LineString,Point,disjoint,,FF1FFF0F2,176
node_3297233865,POINT (-89.4932 43.0675),"road_(3297233876, 1883218361)","LINESTRING (-89.4933 43.0676, -89.4933 43.0675)",LineString,Point,disjoint,,FF1FF00F2,177
node_1221112938,POINT (-89.309 43.1253),poi_way/1135060525,"LINESTRING (-89.3039 43.1258, -89.3038 43.1258, -89.3038 43.1257, -89.3039 43.1257, -89.3039 43.1258)",LineString,Point,disjoint,,FF1FFF0F2,178
node_3462304620,POINT (-89.4402 43.0608),"road_(53512018, 53468619)","LINESTRING (-89.4449 43.0607, -89.4456 43.0607)",LineString,Point,disjoint,,FF1FF00F2,179
node_7876047329,POINT (-89.3011 43.1266),poi_way/1135060533,"LINESTRING (-89.3051 43.1259, -89.3048 43.126, -89.3048 43.1261, -89.3051 43.126, -89.3051 43.1259)",LineString,Point,disjoint,,FF1FFF0F2,180
node_1859409793,POINT (-89.3958 43.0719),poi_way/295708135,"LINESTRING (-89.3989 43.0738, -89.3984 43.0736, -89.3984 43.0741, -89.3989 43.0741, -89.3989 43.0738)",LineString,Point,disjoint,,FF1FFF0F2,181
node_8011161908,POINT (-89.4962 43.054),poi_way/43926497,"LINESTRING (-89.502 43.0492, -89.502 43.0483, -89.5018 43.0482, -89.5004 43.0483, -89.5004 43.0486, -89.5 43.0486, -89.499 43.0491, -89.499 43.0493, -89.5001 43.0493, -89.5007 43.0491, -89.502 43.0492)",LineString,Point,disjoint,,FF1FFF0F2,182
node_10290413987,POINT (-89.4457 43.0762),poi_way/372514599,"LINESTRING (-89.4471 43.0751, -89.4471 43.0749, -89.447 43.0749, -89.447 43.0751, -89.4471 43.0751)",LineString,Point,disjoint,,FF1FFF0F2,183
node_7876047329,POINT (-89.3011 43.1266),poi_way/105992538,"LINESTRING (-89.3015 43.1322, -89.3017 43.1321, -89.3015 43.1319, -89.3013 43.1321, -89.3015 43.1322)",LineString,Point,disjoint,,FF1FFF0F2,184
node_10616323289,POINT (-89.3626 43.0883),poi_way/282307906,"LINESTRING (-89.3668 43.0874, -89.3666 43.0873, -89.3667 43.0872, -89.3669 43.0873, -89.3668 43.0874)",LineString,Point,disjoint,,FF1FFF0F2,185
poi_node/5696877052,POINT (-89.3825 43.076),"road_(3641395283, 2707935406)","LINESTRING (-89.3846 43.0735, -89.3843 43.0732)",LineString,Point,disjoint,,FF1FF00F2,186
node_4095685699,POINT (-89.4039 43.0598),poi_way/433662518,"LINESTRING (-89.4004 43.0614, -89.4003 43.0614, -89.4003 43.0612, -89.4004 43.0612, -89.4004 43.0614)",LineString,Point,disjoint,,FF1FFF0F2,187
node_5371101442,POINT (-89.3822 43.0763),poi_way/100403784,"LINESTRING (-89.3842 43.0766, -89.3843 43.077, -89.3846 43.0769, -89.3842 43.0766)",LineString,Point,disjoint,,FF1FFF0F2,188
node_7126261699,POINT (-89.3887 43.0737),poi_way/102893567,"LINESTRING (-89.3869 43.0706, -89.3865 43.071, -89.3863 43.071, -89.3869 43.0705, -89.3872 43.0707, -89.3874 43.0706, -89.3868 43.0701, -89.3866 43.0703, -89.3868 43.0705, -89.3866 43.0706, -89.3864 43.0704, -89.3858 43.0708, -89.386 43.071, -89.3855 43.071, -89.3862 43.0714, -89.386 43.0711, -89.3864 43.0713, -89.3872 43.0708, -89.3869 43.0706)",LineString,Point,disjoint,,FF1FFF0F2,189
node_6166835404,POINT (-89.475 43.0804),"road_(1701857250, 53639088)","LINESTRING (-89.4812 43.081, -89.4807 43.08)",LineString,Point,disjoint,,FF1FF00F2,190
node_5567913107,POINT (-89.4387 43.0591),"road_(2634656401, 53558741)","LINESTRING (-89.4438 43.0558, -89.4437 43.0558)",LineString,Point,disjoint,,FF1FF00F2,191
node_1242547968,POINT (-89.4873 43.0151),"road_(1242240648, 1242240549)","LINESTRING (-89.4899 43.0134, -89.4898 43.0134)",LineString,Point,disjoint,,FF1FF00F2,192
node_1193162969,POINT (-89.4098 43.0688),"road_(3035566846, 4371623425)","LINESTRING (-89.414 43.0703, -89.4148 43.0703)",LineString,Point,disjoint,,FF1FF00F2,193
poi_node/3989188969,POINT (-89.5193 43.0611),"road_(8404727158, 10289236156)","LINESTRING (-89.5164 43.0606, -89.517 43.0606)",LineString,Point,disjoint,,FF1FF00F2,194
node_3732267519,POINT (-89.5156 43.0765),"road_(53339604, 53386004)","LINESTRING (-89.5188 43.0782, -89.5188 43.078)",LineString,Point,disjoint,,FF1FF00F2,195
node_53565555,POINT (-89.4718 43.076),"road_(3298689261, 3504041836)","LINESTRING (-89.4674 43.0732, -89.4673 43.0735)",LineString,Point,disjoint,,FF1FF00F2,196
node_1179967265,POINT (-89.395 43.0695),poi_way/102381303,"LINESTRING (-89.395 43.0736, -89.3948 43.0734, -89.3947 43.0734, -89.395 43.0736)",LineString,Point,disjoint,,FF1FFF0F2,197
poi_node/6899118570,POINT (-89.3434 43.0952),"line_road_(53487528, 8588070176)","LINESTRING (-89.348 43.0919, -89.34793 43.0919, -89.3479 43.0919)",LineString,Point,disjoint,,FF1FF00F2,198
node_3589271775,POINT (-89.5077 43.0607),"road_(53404842, 3216789423)","LINESTRING (-89.5065 43.0616, -89.5069 43.0616)",LineString,Point,disjoint,,FF1FF00F2,199
poi_node/8949860972,POINT (-89.3924 43.0747),poi_way/100403782,"LINESTRING (-89.3866 43.0743, -89.3863 43.0745, -89.3865 43.0746, -89.3868 43.0744, -89.3866 43.0743)",LineString,Point,disjoint,,FF1FFF0F2,200
node_3455066540,POINT (-89.4573 43.0536),"road_(53491877, 53491870)","LINESTRING (-89.4524 43.0511, -89.4513 43.0511)",LineString,Point,disjoint,,FF1FF00F2,201
node_2713279429,POINT (-89.3934 43.0762),poi_way/102757076,"LINESTRING (-89.3906 43.0729, -89.3901 43.0725, -89.3899 43.0727, -89.3902 43.073, -89.3906 43.0729)",LineString,Point,disjoint,,FF1FFF0F2,202
node_7046214984,POINT (-89.5048 43.0412),poi_way/587754885,"LINESTRING (-89.5026 43.0457, -89.5026 43.0455, -89.5024 43.0455, -89.5024 43.0457, -89.5026 43.0457)",LineString,Point,disjoint,,FF1FFF0F2,203
node_3026441088,POINT (-89.4042 43.0675),line_poi_way/174348079,"LINESTRING (-89.4022 43.0709, -89.4019 43.0707, -89.402 43.0706, -89.4011 43.0706, -89.4011 43.0704, -89.4024 43.0706, -89.4022 43.0707, -89.4022 43.07078, -89.4022 43.0709)",LineString,Point,disjoint,,FF1FFF0F2,204
node_5370812159,POINT (-89.3932 43.0748),poi_way/175146012,"LINESTRING (-89.3997 43.0735, -89.3997 43.0734, -89.3984 43.0734, -89.3984 43.0735, -89.3997 43.0735)",LineString,Point,disjoint,,FF1FFF0F2,205
node_7822233656,POINT (-89.4398 43.0608),"road_(7808504632, 53499556)","LINESTRING (-89.4349 43.0636, -89.4341 43.0642)",LineString,Point,disjoint,,FF1FF00F2,206
node_1345262775,POINT (-89.4467 43.076),poi_way/1134399595,"LINESTRING (-89.452 43.0734, -89.4523 43.0734, -89.4523 43.0733, -89.452 43.0733, -89.452 43.0734)",LineString,Point,disjoint,,FF1FFF0F2,207
